Last_Name;First_name;Middle_name;Phone;Email;Age;Discount;Gender;Passport;City;Регион
Тимошенко;Cергей;Александрович;375295222339;pjomiexia@orc.ru;37;1;1;1171231;Барановичи;1
Атурки;Абдрахим;Шариф;375295222340;tiul@rumail.ru;17;7;1;1511646;Барановичи;1
Акмухоммедов;Абдулла;Чарыевич;375295222341;maesh@exn.ru;60;2;1;4117945;Барановичи;1
Акоразов;Абдырахым;Хаджамухаммедов;375295222343;dath@netman.ru;34;0;1;2982661;Барановичи;1
Гальперин;Абрам;Нохилевич;375295222344;kig@exn.ru;16;3;1;7277576;Барановичи;1
Латушко;Авалентина;Ивановна;375295222345;chjequoubich@orc.ru;22;5;0;5140414;Барановичи;1
Новокрещенкова;Августа;Карловна;375295222346;fygie@newmail.ru;19;7;0;2686213;Барановичи;1
Манкевич;Аверьян;Владимирович;375295222347;hjifiachyok@softhome.com;45;9;1;4481575;Барановичи;1
Погодян;Агас;Рубенович;375295222348;hujiu@rumail.ru;24;7;1;6101875;Барановичи;1
Трущенко;Агата;Сергеевна;375295222349;kjaljisch@mail.ru;29;9;0;4136400;Барановичи;1
Караневич;Агата;Викторовна;375295222350;chyivutju@pop3.ru;36;3;0;1712831;Барановичи;1
Семковская;Агафия;Семеновна;375295222352;cjufiusyax@rin.ru;48;8;0;3582131;Барановичи;1
Борисевич;Агафья;Васильевна;375295222354;neeshjogou@aol.com;33;3;0;3564573;Барановичи;1
Гаджиев;Агашмед;Мамед;375295222357;shyegju@yandex.ru;45;0;1;5974428;Барановичи;1
Шибеко;Агнешка;Валерьевна;375295222358;peko@umr.ru;57;1;0;4990946;Барановичи;1
Дедкова;Агний;Андреевна;375295222359;jiufeechya@pop3.ru;21;1;0;4279619;Барановичи;1
Дедкова;Агния;Андреевна;375295222360;djikyeky@nettaxi.com;21;8;0;5108443;Барановичи;1
Погсян;Агс;Рубенович;375295222361;dyacjerji@usa.net;34;3;1;2297709;Барановичи;1
Бертош;Ада;Адамовна;375295222362;vyathjizju@hotbox.com;42;7;0;1267621;Барановичи;1
Свирко;Ада;Леонидовна;375295222364;haenook@hotbox.ru;18;4;0;2529123;Барановичи;1
Климентёнок;Ада;Петровна;375295222365;roohoox@hotbox.ru;40;2;0;4731527;Барановичи;1
Шинкевич;Ада;Александровна;375295222366;rydaep@rumail.ru;29;6;0;4074012;Барановичи;1
Кульпо;Ада;Константиновна;375295222368;mjequje@usa.net;51;1;0;2605498;Барановичи;1
Куриленко;Ада;Вениаминовна;375295222370;schofiulo@orc.ru;17;5;0;7275050;Барановичи;1
Черняк;Ада;Николаевна;375295222371;riehyithiuv@max.ru;35;9;0;1232606;Барановичи;1
