ID	FIRST_NAME	LAST_NAME	M_PHONE	EMAIL	JOBS	SALARY	STREET	HOUSE	FLAT	PHONE	CITY_NAME	COUNTRY_NAME	COUNTRY_CODE	REGION_NAME	CONTINENT_NAME
50	Urania	Newman	2475111	Urania_Newman@mail.ru	Seller	4630	Tooilowtz	133		8041678	Awqegrjmvty	Mauritania	MRT	Western Africa	Africa
51	Hortense	Janssen	8185524	Hortense_Janssen@tut.by	Accountant	3640	Bvoygbmfl	76	79	5532984	Anpz	Singapore	SGP	South-Eastern Asia	Asia
52	Iris	Abeles	1475695	Iris_Abeles@mail.ru	Assistant	2690	Jhltscte	152	249	1179220	Isssyspcbnj	British Virgin Islands	VGB	Caribbean	Latin America and the Caribbean
53	Marwin	Taylor	8348067	Marwin_Taylor@tut.by	Security guard	2740	Klbzpncimu	111	201	4753491	Rqvwsxdpfvlcvia	United States of America	USA	Northern America	Northern America
54	Eric	Zimmer	7652084	Eric_Zimmer@gmail.com	Assistant	2090	Uhwmsucilpskd	14	167	6900649	Frvybvudwo	Mongolia	MNG	Eastern Asia	Asia
55	Ruth	Coe	1627259	Ruth_Coe@yandex.ru	Assistant	2370	Qhqcrmpkiewky	93	204	7491129	Oaevtqaaplcdgcuvb	Tajikistan	TJK	Central Asia	Asia
56	Dylan	Ferris	7814679	Dylan_Ferris@gmail.com	Seller	4390	Kqabizuhsiwc	110	206	6002356	Pozsmv	Suriname	SUR	South America	Latin America and the Caribbean
57	Devona	Kahn	5394783	Devona_Kahn@yandex.ru	Assistant	2220	Nxkscxnau	33	354	8794874	Kemtpccjgorlyiw	Denmark	DNK	Northern Europe	Europe
58	Ramona	Krishnan	9596206	Ramona_Krishnan@email.net	Assistant	2000	Lnbebyyeadlgh	84		3493444	Atmgirkeu	Dominican Republic	DOM	Caribbean	Latin America and the Caribbean
59	Leta	Saintclair	1011794	Leta_Saintclair@email.net	Assistant	2300	Sdaunbi	167	128	9605945	Wrrjewylmeyxk	Greece	GRC	Southern Europe	Europe
60	Viola	Barry	4397902	Viola_Barry@mail.ru	Seller	5010	Vpewwyfmtmc	26	26	3415924	Otexcz	Philippines	PHL	South-Eastern Asia	Asia
61	Haywood	Linoff	9812014	Haywood_Linoff@email.net	Manager	4910	Qpdperfmjiztw	116	227	2788976	Nsivnehhhomakxcbv	Comoros	COM	Eastern Africa	Africa
62	Regan	Dowd	9962245	Regan_Dowd@email.net	Seller	3570	Jcrxosxpuqarqiv	53	227	7400992	Vmtnwivyzucmeqtbik	Burundi	BDI	Eastern Africa	Africa
63	Poppy	Chin	1967561	Poppy_Chin@email.net	Assistant	2350	Ztjnbjfgry	93	206	8063063	Srffgtipda	Jersey	JEY	Northern Europe	Europe
64	Calandra	Fenton	6200064	Calandra_Fenton@yandex.ru	Seller	4430	Zzgeritfkwu	142	166	1195682	Rmmdhrtuvvhkrcl	Tokelau	TKL	Polynesia	Oceania
65	Wynne	Sizemore	3516965	Wynne_Sizemore@tut.by	Accountant	3100	Ecspuorxovdvhwil	3		2834560	Yladysyvdkw	Ethiopia	ETH	Eastern Africa	Africa
66	Theresa	Krishnan	6804747	Theresa_Krishnan@email.net	Manager	5010	Vuegwvuuw	155	328	9219786	Lwbxbrvqrhkfq	Colombia	COL	South America	Latin America and the Caribbean
67	Frankie	Zoldos	4525756	Frankie_Zoldos@yandex.ru	Seller	3100	Pkbnnefbofhixltkhm	14	110	8152505	Evdzctgrucrr	Poland	POL	Eastern Europe	Europe
68	Cassandra	Wilbur	6745312	Cassandra_Wilbur@tut.by	Assistant	2200	Azqanbutbeyjedhbpv	165	164	1425953	Szcohzcpnbncejbtjh	Viet Nam	VNM	South-Eastern Asia	Asia
69	Misha	Carbery	9709231	Misha_Carbery@gmail.com	Security guard	2630	Lmvexoqnukcs	64	61	4111752	Nztdmjp	The former Yugoslav Republic of Macedonia	MKD	Southern Europe	Europe
70	Tesia	Pinkston	6266888	Tesia_Pinkston@yandex.ru	Assistant	2450	Dfgyuoaq	66	68	1086463	Qobonrmkkpozivco	Austria	AUT	Western Europe	Europe
71	Fredie	Yoon	6345653	Fredie_Yoon@tut.by	Assistant	2710	Gyqnboymfooor	49	242	2648378	Wrkztgcumtdajfnbrv	Honduras	HND	Central America	Latin America and the Caribbean
72	Anand	Litefoote	1413967	Anand_Litefoote@mail.ru	Seller	3680	Jzficbfl	122	255	3617927	Nuefsslwaahupb	Samoa	WSM	Polynesia	Oceania
