Number_Code;GivenName;TelephoneNumber;EmailAddress;StreetAddress;City;State;StateFull;ZipCode;Country;CountryFull
1;Kenneth;040 72 23 15;KennethSSteinbeck@einrot.com;Fasanenstrasse 8;Hamburg Niendorf;HH;Hamburg;22529;DE;Germany
2;Daniel;040 78 56 17;DanielTTubbs@rhyta.com;Los-Angeles-Platz 97;Norderstedt;SH;Schleswig-Holstein;22813;DE;Germany
3;William;04.54.65.66.46;WilliamAWoodard@jourrapide.com;31 Rue Roussy;ORANGE;PA;Provence-Alpes-Côte d'Azur;84100;FR;France
4;Bernard;079 7527 6532;BernardEEnglert@rhyta.com;72 Long Street;MILLBROOK;;;SO15 8WQ;GB;United Kingdom
5;Juan;03.10.58.65.31;JuanLJohnson@fleckens.hu;41 rue de Penthièvre;PONTOISE;IL;Île-de-France;95000;FR;France
6;Jerry;07044 79 03 15;JerryCCurrier@armyspy.com;Brandenburgische Str. 61;Weissach;BW;Baden-Württemberg;71287;DE;Germany
7;Alicia;07371 91 21 62;AliciaBSantiago@superrito.com;Mohrenstrasse 52;Ertingen;BW;Baden-Württemberg;88521;DE;Germany
8;Myra;070 8661 0922;MyraSKenny@gustr.com;11 Preston Rd;MORETON JEFFRIES;;;HR1 0QT;GB;United Kingdom
9;Jerilyn;04.82.66.35.85;JerilynEAustin@teleworm.us;38 rue Clement Marot;PERPIGNAN;LN;Languedoc-Roussillon;66100;FR;France
10;John;070 6893 8570;JohnDWilson@teleworm.us;98 Union Terrace;LONDON;;;E1 2SX;GB;United Kingdom
11;Raymond;078 3521 0709;RaymondJJackson@superrito.com;12 Hudson St;DULLINGHAM;;;CB8 9HZ;GB;United Kingdom
12;Roy;078 6895 5045;RoyLGreen@armyspy.com;99 Abingdon Road;BRANDON;;;NE66 9AF;GB;United Kingdom
13;Eugene;077 6176 5807;EugeneTBrown@gustr.com;43 Layburn Court;TRECASTLE;;;LD3 5BF;GB;United Kingdom
14;Robert;077 5629 5136;RobertLHernandez@dayrep.com;18 Telford Street;BARBROOK;;;EX35 0DU;GB;United Kingdom
15;Johnnie;03.01.03.59.38;JohnnieCSantos@gustr.com;17 quai Saint-Nicolas;TOURCOING;NP;Nord-Pas-de-Calais;59200;FR;France
16;Ralph;077 5016 4178;RalphADecker@gustr.com;89 Canterbury Road;UPTON ST LEONARDS;;;GL4 4LQ;GB;United Kingdom
17;Donald;089 32 71 71;DonaldBWilliams@einrot.com;Rhinstrasse 40;München;BY;Freistaat Bayern;80704;DE;Germany
18;Jackie;01.40.50.03.35;JackieIRunion@cuvox.de;99 rue Cazade;DRAVEIL;IL;Île-de-France;91210;FR;France
19;Grover;03.18.00.92.48;GroverJBrook@rhyta.com;99 rue Jean Vilar;BEAUVAIS;PI;Picardie;60000;FR;France
20;Raul;08141 65 30 22;RaulCKoch@dayrep.com;Prager Str 7;Fürstenfeldbruck;BY;Freistaat Bayern;82245;DE;Germany
21;Alvin;09199 50 09 52;AlvinHDziedzic@teleworm.us;Ellmenreichstrasse 62;Wiesenthau;BY;Freistaat Bayern;91369;DE;Germany
22;Robert;077 5631 0883;RobertTHernandez@teleworm.us;6 Kingsway North;HOLME;;;PE7 8TG;GB;United Kingdom
23;Teresita;070 7563 2165;TeresitaNCahill@dayrep.com;28 Boar Lane;SHADOXHURST;;;TN26 2BB;GB;United Kingdom
24;Gerald;03.67.52.92.41;GeraldMBenoit@jourrapide.com;75 rue Ernest Renan;CHAUMONT;CA;Champagne-Ardenne;52000;FR;France
25;Michael;05807 23 98 58;MichaelNHamburg@rhyta.com;Michaelkirchstr. 92;Altenmedingen;NI;Niedersachsen;29575;DE;Germany
26;Sue;036846 94 32;SueRLankford@cuvox.de;Oldesloer Strasse 22;Suhl;TH;Freistaat Thüringen;98508;DE;Germany
