employee_code,first_name,last_name,age,store_srcid,position_name,position_grade_srcid,work_experience,email,phone,personal_address,currency,currency_code,month_salary,credit_card,start_date,end_date,is_active
99-6123514,Georgetta,McCoish,33,112,retail sales consultant,middle,6,gmccoish0@unblog.fr,539-954-7142,88 Main Drive,Yuan Renminbi,CNY,470.92,6.30E+18,24-Aug-17,-99,ÈÑÒÈÍÀ
27-3435027,Gerek,Colten,29,90,account executive,expert,2,gcolten1@fema.gov,499-680-7487,4990 Pepper Wood Court,Ruble,RUB,954.40,6.76E+17,11-May-17,-99,ËÎÆÜ
51-1443229,Elmer,Gaddie,40,529,sales associate,middle,14,egaddie2@forbes.com,510-267-1800,7285 Sauthoff Hill,Lev,BGN,519.55,3.59E+15,6-Mar-17,-99,ËÎÆÜ
44-2148177,Pandora,Chard,45,305,financial advisor,novice,15,pchard3@utexas.edu,100-420-1899,67 Pine View Avenue,Real,BRL,933.24,3.55E+15,26-Jan-17,-99,ÈÑÒÈÍÀ
56-0972561,Celle,Labadini,63,662,sales coordinator,middle,1,clabadini4@adobe.com,923-287-0342,81 6th Trail,Yuan Renminbi,CNY,938.43,3.58E+15,18-Jun-17,-99,ÈÑÒÈÍÀ
75-8910007,Adeline,Ditch,19,659,sales associate,novice,9,aditch5@shutterfly.com,341-988-1500,37580 Schmedeman Circle,Lempira,HNL,652.96,5.11E+15,29-Aug-17,-99,ËÎÆÜ
42-6153132,Franny,Starford,20,597,director of inside sales,middle,10,fstarford6@infoseek.co.jp,826-601-4228,37 Golf Alley,Rupiah,IDR,852.53,3.55E+15,24-Mar-17,-99,ÈÑÒÈÍÀ
49-0955306,Evie,Mohring,58,58,financial advisor,middle,12,emohring7@symantec.com,432-517-2261,4423 Northfield Drive,Yuan Renminbi,CNY,921.38,4.51E+15,3-Dec-16,-99,ËÎÆÜ
39-8327242,Gonzalo,Trevaskis,43,232,director of national sales,novice,5,gtrevaskis8@wikipedia.org,610-634-3004,7361 Monterey Junction,Guarani,PYG,812.01,4.51E+15,24-Feb-17,-99,ÈÑÒÈÍÀ
25-4221684,Ward,Heggadon,31,769,account executive,experienced,12,wheggadon9@lycos.com,470-361-0878,99 Manufacturers Circle,Peso,DOP,940.07,3.04E+13,27-Feb-17,-99,ÈÑÒÈÍÀ
05-0374575,Kendra,Hains,37,510,sales associate,middle,7,khainsa@acquirethisname.com,980-649-7410,1 Bowman Road,Quetzal,GTQ,573.15,3.58E+15,3-Mar-17,-99,ÈÑÒÈÍÀ
33-2928981,Barnaby,Stoddard,24,890,sales coordinator,experienced,3,bstoddardb@ucoz.ru,862-716-8225,70 Thierer Alley,Peso,PHP,437.71,3.01E+13,20-Jul-17,-99,ËÎÆÜ
70-9116265,Darline,Oldknowe,30,780,director of inside sales,experienced,6,doldknowec@google.com.hk,609-521-4066,456 Sundown Circle,Dram,AMD,408.92,3.57E+15,6-Apr-17,-99,ÈÑÒÈÍÀ
62-6237196,Zia,Bolduc,33,705,executive vice president of sales,experienced,8,zbolducd@histats.com,781-737-0453,2164 Warrior Road,Peso,DOP,912.78,3.57E+15,10-Jun-17,-99,ËÎÆÜ
33-9711374,Marieann,Gathwaite,59,295,director of national sales,experienced,15,mgathwaitee@auda.org.au,984-444-4905,5568 Sycamore Avenue,Rial,IRR,528.92,3.58E+15,6-Oct-17,-99,ÈÑÒÈÍÀ
37-5477239,Lothario,Cornthwaite,42,244,retail sales consultant,expert,6,lcornthwaitef@tripadvisor.com,936-348-6526,011 Westend Way,Peso,PHP,996.58,3.58E+15,4-Feb-17,-99,ÈÑÒÈÍÀ
35-6364956,Hetty,Beardmore,63,472,sales coordinator,middle,13,hbeardmoreg@last.fm,180-512-0747,9 Melby Court,Koruna,CZK,879.80,4.04E+15,26-Apr-17,-99,ÈÑÒÈÍÀ
83-2109947,Kaia,Currier,27,792,director of national sales,novice,5,kcurrierh@github.io,797-302-1430,72025 Waywood Crossing,Ruble,RUB,537.38,3.55E+15,29-Aug-17,-99,ÈÑÒÈÍÀ
66-3776866,Jess,Blount,47,331,store manager,experienced,9,jblounti@edublogs.org,535-875-5080,9874 Pond Circle,Kuna,HRK,804.68,5.02E+16,20-Mar-17,-99,ÈÑÒÈÍÀ
35-0164378,Edi,Muggach,39,231,account executive,expert,4,emuggachj@mail.ru,882-394-6597,9976 Summerview Trail,Baht,THB,713.14,5.10E+15,17-May-17,-99,ÈÑÒÈÍÀ
91-7492317,Evy,Rawles,53,979,financial advisor,experienced,8,erawlesk@mysql.com,855-835-7583,24 Sommers Alley,Euro,EUR,860.55,5.12E+15,12-Aug-17,-99,ËÎÆÜ
04-1286860,Allistir,Fall,21,193,director of national sales,expert,3,afalll@storify.com,155-420-9970,5 Pine View Street,Rupiah,IDR,682.87,2.02E+14,3-Sep-17,-99,ËÎÆÜ
56-2227642,Tildie,Badini,36,180,director of inside sales,middle,4,tbadinim@drupal.org,107-525-5916,5 Holmberg Park,Rupiah,IDR,579.49,5.05E+15,22-Oct-17,-99,ÈÑÒÈÍÀ
77-4220308,Paule,Selbie,37,770,executive vice president of sales,experienced,15,pselbien@jiathis.com,435-617-4802,966 Farwell Parkway,Ringgit,MYR,947.57,3.57E+15,25-Jun-17,-99,ËÎÆÜ
08-1811525,Fredia,Matchitt,63,723,sales coordinator,novice,2,fmatchitto@ustream.tv,434-625-0289,03 Stuart Court,Dollar,CAD,560.35,5.60E+15,22-Dec-16,-99,ÈÑÒÈÍÀ
96-7043837,Killie,Hunnicutt,45,220,financial planner,middle,6,khunnicuttp@joomla.org,312-152-8297,46 Arkansas Junction,Shilling,TZS,857.79,3.59E+15,3-Nov-17,-99,ËÎÆÜ
26-9121103,Mickie,Busson,22,563,retail sales consultant,novice,14,mbussonq@livejournal.com,932-776-9454,1313 Brown Plaza,Rupiah,IDR,816.93,3.57E+15,10-Jun-17,-99,ËÎÆÜ
